pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua,tipo
COATZINTLA-1,0.00996779039181,0.009967428170733757,9.986271753084327e-08,0.4633070393470308,inf,inf,0.009967555183120083,0.6000415109598356,0.005102991086882476,1.1379241071075588,0.009967790391809946,0.46415805438085284,0.004602300914850272,0.5694271134659435,0.0009967790391810002,2019-09-01,2.0,2311.5,VERTICAL,2019-07-01,0.0403781948185356,8.339316799269306e-08,0.4640865038086339,5e-45,0.5,10.0,INACTIVO,2.2463085012708453e-05,2.2463766027488422e-05,2.656503930184995e-05,0.0003686122736936578,0.00036861367472202874,0.00043592454353320593,0.00061832454591783,0.0025047632894172,0.0,0.0,0.0010357850941540298,4050.8876866591386,0.0,BAJA
ARIEL-1,0.00880765255485,0.008807312916660136,2.115361572628347e-08,0.02184530108521384,0.0016275834113584219,0.48391692767398103,0.008807652554849985,0.022958401766224584,0.0017498212445125367,0.026547985226642885,0.008807652554849998,0.021847214789886753,0.0015744715947469527,0.01823323012602457,0.0008180460557010001,2020-02-01,23.0,2047.0,VERTICAL,2018-03-01,0.07899727709179999,0.16971072827807304,0.462411180640713,5e-45,0.5,10.0,INACTIVO,0.00019213020971852704,0.0001921321712437616,0.00019910591728974697,0.0007923348795427619,0.0007703071489233197,0.0012059799080814551,0.00397515273847533,0.0078475147838355,0.0,0.00113873051455101,0.00528307186911458,2486.6778111013055,0.3074432655000281,BAJA
TAJIN-367,0.00026580778557900003,0.00019953747919821763,0.995663566362023,0.08746092515188053,inf,inf,0.0002348581079389715,0.10000934266210985,6.35231883036748e-05,0.12533811477991993,0.00019935583918425002,10.0,0.0002901149429027052,0.0,0.000206230016323,2020-02-01,5.0,2030.85,VERTICAL,2019-09-01,0.0002743025300965902,0.9993104514009971,0.021041148650246908,5e-45,0.5,10.0,INACTIVO,8.41666800954399e-08,1.0976170600019746e-08,4.057985395414184e-09,2.1690284326777041e-07,1.315496919253296e-08,2.2352733369159632e-08,1.994887967646e-05,2.7203466331619997e-05,0.0,0.0,2.448279073173e-05,1410.6756234587453,0.0,BAJA
JANO-1,0.014467,0.014466999974594085,0.9999999999987012,3.260911192557919e-10,0.004085563168739707,20007981.818678003,0.014466999989879995,1.5363371615625345e-10,0.003983372498457117,0.0009686105235058908,0.014466999996159826,8.841666474165735e-13,0.0039833708538516525,0.0009686073759494634,0.006376,2014-02-01,420.0,2000.0,VERTICAL,1979-08-01,0.000101,0.5,15.0,5e-45,0.5,10.0,INACTIVO,0.014450062220705277,0.014450063352393103,0.01445006274958275,0.049715706642991096,0.04971570590534205,0.04947344956502345,0.033862710000000004,0.018154439999999994,0.0,0.00235125,0.03688844999999998,507.3572312410965,0.06284544985372899,BAJA
TAJIN-347,0.00017873268081300002,8.936634040650001e-05,0.5,10.0,inf,inf,8.936634040650001e-05,10.0,inf,inf,8.936634040650001e-05,10.0,inf,inf,0.00017873268081300002,2020-02-01,1.0,2000.0,VERTICAL,2020-01-01,0.0002943655567203003,0.985422487337743,0.057774924251974766,5e-45,0.5,10.0,INACTIVO,3.800223920327228e-08,3.7122480383999734e-08,3.516556768376686e-08,3.028581550327659e-09,4.3039792403961345e-09,1.0024138915828884e-08,1.0378026627870002e-05,1.9718689865640003e-05,0.0,5.6062393684529994e-06,1.366447493881e-05,1900.0423271881846,0.5402028313742364,BAJA
TAJIN-389,0.0110607587959,0.010001350987868973,0.9999972952252463,0.06391917826383688,0.0013223773382851876,3.786434053063113,0.010001408271360097,0.06392087805232109,0.0010104761172359214,0.024986974638329423,0.009703556863852407,0.046062574472822915,0.0008990291440206288,0.01457482513860622,0.00371521207992,2019-04-01,13.0,2040.0,DIRECCIONAL,2018-03-01,0.2617881336912414,0.9999999999999999,3.5553948743301396,5e-45,0.5,10.0,INACTIVO,2.9597914055373507e-05,2.8868325193394994e-05,2.886832339782398e-05,0.004613995041574348,0.0014460310701694937,0.0014460310701692237,0.003074723356977,0.014245604125449509,0.0,0.0006291234903957001,0.005448990711218585,3849.1314750407682,0.20461225359129756,BAJA
TAJIN-342,0.00029469282821599995,0.00022101962116199996,0.5,10.0,inf,inf,0.00022101962116199996,10.0,inf,inf,0.00022101962116199996,10.0,inf,inf,0.00029469282821599995,2019-10-01,0.0,2021.0,DIRECCIONAL,2019-10-01,0.0021543353322334372,0.5,15.0,5e-45,0.5,10.0,PRODUCTOR,5.427741437621553e-09,5.427741437621553e-09,5.427741437621553e-09,4.829511679198112e-09,4.829511679198112e-09,4.829511679198112e-09,8.840784846479999e-06,6.671490061109999e-05,0.0,1.3872582012179999e-05,1.9959934948329995e-05,7546.264474207045,1.56915729237585,BAJA
TAJIN-345A,0.000173233213711,8.66166068555e-05,0.5,10.0,inf,inf,8.66166068555e-05,10.0,inf,inf,8.66166068555e-05,10.0,inf,inf,0.000173233213711,2020-02-01,1.0,1940.0,VERTICAL,2020-01-01,0.0002943655567203003,0.985422487337743,0.057774924251974766,5e-45,0.5,10.0,INACTIVO,3.5699618318956145e-08,3.4873165596189216e-08,3.3034825594480636e-08,3.028581550327659e-09,4.3039792403961345e-09,1.0024138915828884e-08,1.005870273162e-05,1.9718689865640003e-05,0.0,1.793993827314e-05,1.334515104256e-05,1960.3611312274627,1.7835240539263646,BAJA
TAJIN-633,0.000579868090974,0.00050738457960225,0.5,10.0,inf,inf,0.00050738457960225,10.0,inf,inf,0.00050738457960225,10.0,inf,inf,0.000579868090974,2019-10-01,0.0,2005.0,DIRECCIONAL,2019-10-01,0.0005337192049113751,0.5,15.0,5e-45,0.5,10.0,PRODUCTOR,5.25385942077861e-09,5.25385942077861e-09,5.25385942077861e-09,5.8133916263516404e-09,5.8133916263516404e-09,5.8133916263516404e-09,1.739604272922e-05,1.829894416839e-05,0.0,7.12838454156e-06,2.0445866757285003e-05,1051.9026915042812,0.40977046633637587,BAJA
TAJIN-361,0.000171858455031,8.59292275155e-05,0.5,10.0,inf,inf,8.59292275155e-05,10.0,inf,inf,8.59292275155e-05,10.0,inf,inf,0.000171858455031,2020-02-01,1.0,1952.0,VERTICAL,2020-01-01,0.0002943655567203003,0.985422487337743,0.057774924251974766,5e-45,0.5,10.0,INACTIVO,3.5135250562575345e-08,3.4321863057052136e-08,3.251258498572204e-08,3.028581550327659e-09,4.3039792403961345e-09,1.0024138915828884e-08,9.978878034059998e-06,1.9718689865640003e-05,0.0,1.0011125537609999e-05,1.3265326345e-05,1976.042777388011,1.0032315760790373,BAJA
